airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime
VERY_POOR,2022-01-01 00:01:08+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a70a062d-1bc8-ba77-a530-af9b5d4f2145,349.0,0.0,0.25,201.4,566.82,305.35,3.67,111.35,21.54,1.24,76.16,4.04,77.9,0.94
MODERATE,2022-01-01 00:01:08+05:30,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/12bd3b5b-a189-0d10-3a1f-20a0ba699d7f,103.0,0.0,29.7,2.96,0.0,3.78,3.36,51.81,19.91,4.08,78.8,3.78,77.22,0.94
SEVERE,2022-01-01 00:01:08+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/db3d6ea0-a84a-b3d6-7ec9-71ae66736273,408.0,0.0,0.0,328.16,675.62,487.34,3.17,58.84,20.79,1.16,62.37,0.21,77.25,0.94
VERY_POOR,2022-01-01 00:01:08+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,306.0,0.0,0.0,154.19,73.23,223.55,4.78,68.58,21.54,2.79,77.73,3.62,73.87,0.94
VERY_POOR,2022-01-01 00:01:09+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b3ec32ff-fa7d-64fa-c0af-272e25d314e9,366.0,0.0,0.0,222.11,315.1,335.07,2.37,64.17,20.91,4.51,75.95,3.13,76.85,0.94
MODERATE,2022-01-01 00:01:09+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/02f7e7ee-29d6-c1c1-4d98-8f74981d9683,166.0,0.0,60.69,67.58,215.79,96.99,4.97,0.0,19.82,1.17,82.21,0.78,80.95,1.7
MODERATE,2022-01-01 00:01:09+05:30,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d824fa46-223b-f248-493e-80bb5bdeda68,104.0,0.0,0.0,0.79,569.8,0.99,2.3,65.93,20.82,18.08,75.92,0.35,75.4,0.94
MODERATE,2022-01-01 00:01:09+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/390a5098-1616-60ca-955e-ce9b5d3ee5f9,198.0,0.0,5.92,84.03,0.0,117.69,2.18,56.58,21.66,1.67,82.03,1.0,75.5,0.87
VERY_POOR,2022-01-01 00:01:10+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0541f9dd-2787-d791-9340-c30da7750de7,304.0,0.0,0.57,137.42,154.67,208.38,2.62,92.76,19.4,3.97,63.19,0.0,80.63,0.94
MODERATE,2022-01-01 00:01:10+05:30,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/02b868e6-59f7-9359-3ae3-6feaf0e6bd9f,111.0,0.0,7.75,0.38,59.41,0.47,1.47,80.59,19.93,3.44,71.47,5.24,73.6,0.93
POOR,2022-01-01 00:01:10+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a1198ebc-db62-1c31-28c6-09d51441f153,282.0,0.0,23.61,266.34,206.25,396.11,2.99,31.0,20.54,4.98,77.53,3.63,82.55,0.94
VERY_POOR,2022-01-01 00:01:10+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/184ba502-22a8-ad15-a8f1-c966cd3aa7a7,375.0,0.0,0.0,258.46,298.34,382.72,3.03,78.82,21.06,1.15,68.02,3.16,76.78,0.94
MODERATE,2022-01-01 00:01:11+05:30,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c37c6979-6802-4a1c-c852-609b7706f5ba,100.0,0.0,12.78,85.25,0.0,119.0,2.87,59.59,20.7,5.65,73.04,1.56,79.62,0.94
VERY_POOR,2022-01-01 00:01:11+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/98bf83b7-a2b8-ea70-88aa-7d1d9f33dbe0,358.0,0.0,0.0,186.12,386.38,265.95,1.76,60.24,18.8,2.19,75.75,3.64,80.73,0.94
VERY_POOR,2022-01-01 00:01:11+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/98bf83b7-a2b8-ea70-88aa-7d1d9f33dbe0,358.0,0.0,0.0,186.12,386.38,265.95,1.76,60.24,18.8,2.19,75.75,3.64,80.73,0.94
VERY_POOR,2022-01-01 00:01:11+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/8cff12b2-b8be-1230-c5f6-ca96b4e4e441,341.0,0.0,4.82,210.97,581.33,311.73,2.32,50.12,19.06,1.46,75.04,2.58,80.37,0.94
VERY_POOR,2022-01-01 00:01:11+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/8cff12b2-b8be-1230-c5f6-ca96b4e4e441,341.0,0.0,4.82,210.97,581.33,311.73,2.32,50.12,19.06,1.46,75.04,2.58,80.37,0.94
VERY_POOR,2022-01-01 00:01:12+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/978ed964-88ee-fbc8-2092-5e41065c6405,368.0,0.0,0.19,201.25,0.0,287.86,2.77,63.48,20.17,2.06,77.6,0.0,78.14,0.94
VERY_POOR,2022-01-01 00:01:12+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c7b8f786-2f89-116f-d98d-8c54bfc7caaf,325.0,0.0,0.0,156.64,61.12,231.82,4.03,51.36,21.36,9.28,56.87,7.03,78.03,0.94
VERY_POOR,2022-01-01 00:01:12+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/17429134-c3d7-da41-0057-388a28723913,311.0,0.0,0.0,147.52,450.38,222.71,2.83,36.54,24.21,50.59,66.01,2.68,62.87,0.89
SATISFACTORY,2022-01-01 00:01:12+05:30,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3d3a569a-1a89-c3b6-671c-5675e4132c32,80.0,0.0,0.28,29.18,392.56,36.56,1.62,65.7,19.02,25.65,74.03,0.02,76.25,0.94
MODERATE,2022-01-01 00:01:12+05:30,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/146a3c4f-c6e4-959f-e967-f0cfd5b03dcb,135.0,0.0,32.78,55.45,0.0,76.72,4.31,65.54,19.54,5.53,78.66,1.75,78.51,0.46
MODERATE,2022-01-01 00:01:13+05:30,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/21ece4ba-0dcf-843a-16e0-35e0082277dd,114.0,0.0,6.92,78.67,500.13,120.28,3.34,63.5,20.67,3.26,79.23,4.28,80.6,0.94
VERY_POOR,2022-01-01 00:01:13+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/169af06f-bfee-3513-56e5-b9ddd7b863f0,310.0,0.0,33.55,173.17,0.0,274.36,3.47,53.9,21.81,1.3,72.25,0.0,71.1,0.94
MODERATE,2022-01-01 00:01:13+05:30,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f40c0b8e-248f-9f62-414e-7e2a7065d53e,112.0,0.0,17.87,42.95,155.39,69.9,3.99,44.06,19.24,11.79,60.16,1.59,84.44,0.84
SATISFACTORY,2022-01-01 00:01:14+05:30,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0ede317b-62b5-86e2-de37-604271f37d73,73.0,0.0,12.6,27.47,773.75,39.67,2.18,67.93,18.91,2.41,75.33,0.15,87.61,0.94
VERY_POOR,2022-01-01 00:01:14+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/67ae0343-59e4-e88f-bc4a-f55e7789df44,320.0,0.0,9.02,148.16,99.88,212.56,3.87,45.02,21.33,3.88,74.3,2.54,75.59,0.94
VERY_POOR,2022-01-01 00:01:14+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,307.0,0.0,3.19,290.95,505.08,453.05,4.07,92.55,20.69,0.42,80.19,2.74,81.69,0.92
SEVERE,2022-01-01 00:01:14+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/57c0323e-4cf7-2b22-0e54-e9c043d235cb,408.0,0.0,21.04,235.73,185.12,348.41,2.74,83.07,20.26,1.38,78.87,6.62,75.67,0.89
MODERATE,2022-01-01 00:01:14+05:30,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/8011a665-ea2b-dd08-4c49-667bb2256545,117.0,0.0,0.0,37.39,482.56,58.01,1.6,60.93,21.09,1.12,102.01,3.38,73.17,0.94
VERY_POOR,2022-01-01 00:01:15+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d90466f6-a69a-6989-e54a-eddb4dc47fd4,351.0,0.0,8.87,170.24,0.0,243.68,4.16,45.72,21.07,3.8,82.36,6.34,82.5,0.94
SEVERE,2022-01-01 00:01:16+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/64131670-4db5-8b9b-6a81-7ddc23f176fd,400.0,,24.24,201.0,316.97,295.64,1.83,52.34,20.09,0.14,72.54,0.0,82.08,0.94
VERY_POOR,2022-01-01 00:01:16+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a841398a-4739-72ff-497a-a439364f459a,332.0,0.0,0.14,152.93,428.15,237.35,2.63,76.62,21.53,10.17,81.22,0.11,73.41,0.94
MODERATE,2022-01-01 00:01:16+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b4b9e3b8-fcfa-08c2-a9c5-2093748a116c,120.0,0.0,2.61,66.71,276.56,103.79,3.81,16.05,20.38,1.41,77.51,1.18,84.78,0.94
MODERATE,2022-01-01 00:01:16+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,149.0,0.0,0.0,58.27,441.62,83.62,4.13,45.43,20.51,2.62,78.47,7.95,84.09,0.94
VERY_POOR,2022-01-01 00:01:16+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/763f8470-1fca-6f8b-3a8b-ee883a0c5f06,327.0,0.0,6.59,198.75,339.98,302.68,1.9,16.86,19.87,1.14,77.15,2.41,80.58,0.94
VERY_POOR,2022-01-01 00:01:16+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/6e5c898e-23ee-f77a-82f5-ebc4998f5f4a,377.0,,,,,,,,,,,,,
VERY_POOR,2022-01-01 00:01:16+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b075ef08-a5cc-e920-6be3-f57e5b7731c5,304.0,0.0,0.0,128.59,190.67,192.75,1.81,74.46,19.33,4.06,73.89,1.57,83.78,0.94
